epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3951,5.63071,36.2213,2.75383,0,0,0,0,5.75254,34.135,3.05276,1.716e-05,1.716e-05,1.716e-05
2,84.6994,5.49788,26.1214,2.4419,0,0,0,0,5.50496,22.2551,2.48091,3.68119e-05,3.68119e-05,3.68119e-05
3,126.07,5.0965,18.9518,1.97585,0,0,0,0,5.12823,14.318,2.02328,5.60674e-05,5.60674e-05,5.60674e-05
4,166.648,5.09581,17.2652,1.93934,0,0,0,0,4.81493,11.1807,1.66339,7.49266e-05,7.49266e-05,7.49266e-05
5,206.996,4.85968,12.828,1.73167,0,0,0,0,4.67321,9.18444,1.37933,9.33893e-05,9.33893e-05,9.33893e-05
6,246.073,4.66807,11.2847,1.49906,0,0,0,0,4.66762,8.35954,1.29772,0.000111456,0.000111456,0.000111456
7,285.756,4.42644,9.65348,1.415,0,0,0,0,4.54155,7.90996,1.30088,0.000129126,0.000129126,0.000129126
8,324.339,4.51549,9.16559,1.40171,0,0,0,0,4.5185,7.73524,1.30249,0.000146399,0.000146399,0.000146399
9,363.75,4.50292,8.50474,1.3714,0,0,0,0,4.49301,7.3217,1.28645,0.000163276,0.000163276,0.000163276
10,399.484,4.53449,8.28577,1.31844,0,0,0,0,4.49084,7.02408,1.25712,0.000179757,0.000179757,0.000179757
11,438.934,4.4504,7.4301,1.28856,0.0035,0.02469,0.00056,0.0002,4.50127,6.86226,1.25072,0.000195841,0.000195841,0.000195841
12,482.401,4.49551,7.27226,1.24796,0.00264,0.04938,0.00039,8e-05,4.40054,6.758,1.24263,0.000211529,0.000211529,0.000211529
13,526.262,4.59891,6.93935,1.26514,0.0026,0.04784,0.00039,0.0001,4.36165,6.75765,1.24809,0.000226821,0.000226821,0.000226821
14,572.917,4.35756,7.66211,1.22261,0.00257,0.04938,0.00044,0.00017,4.34467,6.77357,1.2615,0.000241716,0.000241716,0.000241716
15,615.804,4.57663,7.38816,1.2453,0.00254,0.04938,0.0003,9e-05,4.31669,6.65887,1.24826,0.00024636,0.00024636,0.00024636
16,661.546,4.50584,7.15169,1.23399,0.00303,0.04784,0.00021,4e-05,4.40478,6.61153,1.24689,0.000243529,0.000243529,0.000243529
17,704.256,4.48289,6.74358,1.22932,0.00283,0.04321,0.00019,3e-05,4.41891,6.57159,1.24613,0.000240698,0.000240698,0.000240698
18,751.301,4.55102,7.11069,1.2732,0.00338,0.05401,0.00127,0.00015,4.38848,6.319,1.24331,0.000237866,0.000237866,0.000237866
19,802.635,4.41506,6.73342,1.23765,0.00288,0.05864,0.00036,8e-05,4.27105,6.09289,1.22938,0.000235035,0.000235035,0.000235035
20,849.877,4.31834,6.82437,1.23883,0.00349,0.05401,0.0004,8e-05,4.29079,6.26375,1.2157,0.000232203,0.000232203,0.000232203
21,894.241,4.31267,6.33331,1.24236,0.00402,0.04784,0.00034,7e-05,4.32829,6.37306,1.21236,0.000229372,0.000229372,0.000229372
22,939.297,4.29744,6.6455,1.19217,0.00299,0.04012,0.00026,6e-05,4.51188,6.39782,1.20996,0.000226541,0.000226541,0.000226541
23,986.064,4.28361,6.80118,1.18744,0.00245,0.04938,0.00028,7e-05,4.53757,6.25659,1.19567,0.000223709,0.000223709,0.000223709
24,1034.75,4.32426,6.83255,1.23221,0.00195,0.06481,0.00023,4e-05,4.56442,6.10461,1.18032,0.000220878,0.000220878,0.000220878
25,1081.11,4.36605,6.73392,1.20543,0.00135,0.0463,0.00014,3e-05,4.71277,6.25843,1.16781,0.000218046,0.000218046,0.000218046
26,1124.84,4.38133,6.36932,1.22767,0.00081,0.02932,0.00016,3e-05,4.85735,6.39268,1.1421,0.000215215,0.000215215,0.000215215
